2010-01-30,02:34,24.141.125.246,tracker_ad_category,g1341xr,,1288,130
2010-01-30,02:34,24.141.125.246,tracker_ad_category,g1341xr,,1288,138
2010-01-30,02:34,24.141.125.246,tracker_ad_category,g1341xr,,1288,139
2010-01-30,02:34,24.141.125.246,tracker_ad_category,g1341xr,,1288,145
2010-01-30,02:34,24.141.125.246,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,02:34,24.141.125.246,tracker_ad_category,x1379kda,,1306,130
2010-01-30,02:36,95.74.247.212,tracker_pushy_widget,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,
2010-01-30,02:36,95.74.247.212,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-01-30,02:36,95.74.247.212,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,x1379kda,,1307,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,101
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,108
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,130
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,138
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,139
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1307,145
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,awm1316e,,1280,101
2010-01-30,02:36,95.74.247.212,tracker_ad_category,awm1316e,,1280,130
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,fmj1361,,1316,101
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,rfe1319,,1317,108
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,paw1200,,1277,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,paw1200,,1277,101
2010-01-30,02:36,95.74.247.212,tracker_ad_category,paw1200,,1277,108
2010-01-30,02:36,95.74.247.212,tracker_ad_category,paw1200,,1277,118
2010-01-30,02:36,95.74.247.212,tracker_ad_category,paw1200,,1277,130
2010-01-30,02:36,95.74.247.212,tracker_ad_category,paw1200,,1277,145
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,awm1316e,,1281,111
2010-01-30,02:36,95.74.247.212,tracker_ad_category,awm1316e,,1281,130
2010-01-30,02:36,95.74.247.212,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,02:36,95.74.247.212,tracker_ad_category,x1379kda,,1306,130
2010-01-30,02:41,212.11.190.67,tracker_pushy_widget,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,
2010-01-30,02:41,212.11.190.67,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,101
2010-01-30,02:41,212.11.190.67,tracker_widget_category,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,130
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,awm1316e,,1280,101
2010-01-30,02:41,212.11.190.67,tracker_ad_category,awm1316e,,1280,130
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,fmj1361,,1316,101
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,rfe1319,,1317,108
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,g1341xr,,1288,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,101
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,108
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,130
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,138
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,139
2010-01-30,02:41,212.11.190.67,tracker_ad_category,g1341xr,,1288,145
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,paw1200,,1277,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,paw1200,,1277,101
2010-01-30,02:41,212.11.190.67,tracker_ad_category,paw1200,,1277,108
2010-01-30,02:41,212.11.190.67,tracker_ad_category,paw1200,,1277,118
2010-01-30,02:41,212.11.190.67,tracker_ad_category,paw1200,,1277,130
2010-01-30,02:41,212.11.190.67,tracker_ad_category,paw1200,,1277,145
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,awm1316e,,1281,111
2010-01-30,02:41,212.11.190.67,tracker_ad_category,awm1316e,,1281,130
2010-01-30,02:41,212.11.190.67,tracker_pushy_ads,x1379kda,,1306,
2010-01-30,02:41,212.11.190.67,tracker_ad_category,x1379kda,,1306,130
2010-01-30,02:44,58.170.91.5,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,02:52,98.20.58.218,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,03:20,88.5.98.51,tracker_pushy_widget,awm1316e,390662654d3a702e71dc4f1e900e7157@scincare,,
2010-01-30,03:20,88.5.98.51,tracker_widget_category,awm1316e,390662654d3a702e71dc4f1e900e7157@scincare,,106
2010-01-30,03:20,88.5.98.51,tracker_widget_category,awm1316e,390662654d3a702e71dc4f1e900e7157@scincare,,124
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads_mysites,awm1316e,,1280,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,awm1316e,,1280,101
2010-01-30,03:20,88.5.98.51,tracker_ad_category,awm1316e,,1280,130
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,fmj1361,,1316,101
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,rfe1319,,1317,108
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,g1341xr,,1288,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,101
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,108
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,130
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,138
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,139
2010-01-30,03:20,88.5.98.51,tracker_ad_category,g1341xr,,1288,145
2010-01-30,03:20,88.5.98.51,tracker_pushy_ads,paw1200,,1277,
2010-01-30,03:20,88.5.98.51,tracker_ad_category,paw1200,,1277,101
2010-01-30,03:20,88.5.98.51,tracker_ad_category,paw1200,,1277,108
2010-01-30,03:20,88.5.98.51,tracker_ad_category,paw1200,,1277,118
2010-01-30,03:20,88.5.98.51,tracker_ad_category,paw1200,,1277,130
